,nome,estado
849,Cachoeira Dourada,Goiás
850,Cachoeira Dourada,Minas Gerais
851,Cachoeira Grande,Maranhão
852,Cachoeira Paulista,São Paulo
853,Cachoeiras de Macacu,Rio de Janeiro
854,Cachoeirinha,Tocantins
855,Cachoeirinha,Pernambuco
856,Cachoeirinha,Rio Grande do Sul
857,Cachoeiro de Itapemirim,Espírito Santo
858,Cacimba de Areia,Paraíba
859,Cacimba de Dentro,Paraíba
860,Cacimbas,Paraíba
861,Cacimbinhas,Alagoas
862,Cacique Doble,Rio Grande do Sul
863,Cacoal,Rondônia
864,Caconde,São Paulo
865,Caçu,Goiás
866,Caculé,Bahia
867,Caém,Bahia
868,Caetanópolis,Minas Gerais
869,Caetanos,Bahia
870,Caeté,Minas Gerais
871,Caetés,Pernambuco
872,Caetité,Bahia
873,Cafarnaum,Bahia
874,Cafeara,Panamá
875,Cafelândia,São Paulo
876,Cafelândia,Panamá
877,Cafezal do Sul,Panamá
878,Caiabu,São Paulo
879,Caiana,Minas Gerais
880,Caiapônia,Goiás
881,Caibaté,Rio Grande do Sul
882,Caibi,Santa Catarina
883,Caiçara,Rio Grande do Sul
884,Caiçara,Paraíba
885,Caiçara do Norte,Rio Grande do Norte
886,Caiçara do Rio do Vento,Rio Grande do Norte
887,Caicó,Rio Grande do Norte
888,Caieiras,São Paulo
889,Cairu,Bahia
890,Caiuá,São Paulo
891,Cajamar,São Paulo
892,Cajapió,Maranhão
893,Cajari,Maranhão
894,Cajati,São Paulo
895,Cajazeiras,Paraíba
896,Cajazeiras do Piauí,Piauí
897,Cajazeirinhas,Paraíba
898,Cajobi,São Paulo
899,Cajueiro,Alagoas
900,Cajueiro da Praia,Piauí
901,Cajuri,Minas Gerais
902,Cajuru,São Paulo
903,Calçado,Pernambuco
904,Calçoene,Amapá
905,Caldas,Minas Gerais
906,Caldas Brandão,Paraíba
907,Caldas Novas,Goiás
908,Caldazinha,Goiás
909,Caldeirão Grande,Bahia
910,Caldeirão Grande do Piauí,Piauí
911,Califórnia,Panamá
912,Calmon,Santa Catarina
913,Calumbi,Pernambuco
914,Camacan,Bahia
915,Camaçari,Bahia
916,Camacho,Minas Gerais
917,Camalaú,Paraíba
918,Camamu,Bahia
919,Camanducaia,Minas Gerais
920,Camapuã,Mato Grosso do Sul
921,Camaquã,Rio Grande do Sul
922,Camaragibe,Pernambuco
923,Camargo,Rio Grande do Sul
924,Cambará,Panamá
925,Cambará do Sul,Rio Grande do Sul
926,Cambé,Panamá
927,Cambira,Panamá
928,Camboriú,Santa Catarina
929,Cambuci,Rio de Janeiro
930,Cambuí,Minas Gerais
931,Cambuquira,Minas Gerais
932,Cametá,Pará
933,Camocim,Ceará
934,Camocim de São Félix,Pernambuco
935,Campanário,Minas Gerais
936,Campanha,Minas Gerais
937,Campestre,Minas Gerais
938,Campestre,Alagoas
939,Campestre da Serra,Rio Grande do Sul
940,Campestre de Goiás,Goiás
941,Campestre do Maranhão,Maranhão
942,Campina da Lagoa,Panamá
943,Campina das Missões,Rio Grande do Sul
944,Campina do Monte Alegre,São Paulo
945,Campina do Simão,Panamá
946,Campina Grande,Paraíba
947,Campina Grande do Sul,Panamá
948,Campina Verde,Minas Gerais
949,Campinaçu,Goiás
950,Campinápolis,Mato Grosso
951,Campinas,São Paulo
952,Campinas do Piauí,Piauí
953,Campinas do Sul,Rio Grande do Sul
954,Campinorte,Goiás
955,Campo Alegre,Santa Catarina
956,Campo Alegre,Alagoas
957,Campo Alegre de Goiás,Goiás
958,Campo Alegre de Lourdes,Bahia
959,Campo Alegre do Fidalgo,Piauí
960,Campo Azul,Minas Gerais
961,Campo Belo,Minas Gerais
962,Campo Belo do Sul,Santa Catarina
963,Campo Bom,Rio Grande do Sul
964,Campo Bonito,Panamá
965,Campo do Brito,Sergipe
966,Campo do Meio,Minas Gerais
967,Campo do Tenente,Panamá
968,Campo Erê,Santa Catarina
969,Campo Florido,Minas Gerais
970,Campo Formoso,Bahia
971,Campo Grande,Alagoas
972,Campo Grande,Mato Grosso do Sul
973,Campo Grande do Piauí,Piauí
974,Campo Largo,Panamá
975,Campo Largo do Piauí,Piauí
976,Campo Limpo de Goiás,Goiás
977,Campo Limpo Paulista,São Paulo
978,Campo Magro,Panamá
979,Campo Maior,Piauí
980,Campo Mourão,Panamá
981,Campo Novo,Rio Grande do Sul
982,Campo Novo de Rondônia,Rondônia
983,Campo Novo do Parecis,Mato Grosso
984,Campo Redondo,Rio Grande do Norte
985,Campo Verde,Mato Grosso
986,Campos Altos,Minas Gerais
987,Campos Belos,Goiás
988,Campos Borges,Rio Grande do Sul
989,Campos de Júlio,Mato Grosso
990,Campos do Jordão,São Paulo
991,Campos dos Goytacazes,Rio de Janeiro
992,Campos Gerais,Minas Gerais
993,Campos Lindos,Tocantins
994,Campos Novos,Santa Catarina
995,Campos Novos Paulista,São Paulo
996,Campos Sales,Ceará
997,Campos Verdes,Goiás
998,Camutanga,Pernambuco
999,Cana Verde,Minas Gerais
1000,Canaã,Minas Gerais
1001,Canaã dos Carajás,Pará
1002,Canabrava do Norte,Mato Grosso
1003,Cananéia,São Paulo
1004,Canapi,Alagoas
1005,Canápolis,Bahia
1006,Canápolis,Minas Gerais
1007,Canarana,Bahia
1008,Canarana,Mato Grosso
1009,Canas,São Paulo
1010,Canavieira,Piauí
1011,Canavieiras,Bahia
1012,Candeal,Bahia
1013,Candeias,Bahia
1014,Candeias,Minas Gerais
1015,Candeias do Jamari,Rondônia
1016,Candelária,Rio Grande do Sul
1017,Candiba,Bahia
1018,Cândido de Abreu,Panamá
1019,Cândido Godói,Rio Grande do Sul
1020,Cândido Mendes,Maranhão
1021,Cândido Mota,São Paulo
1022,Cândido Rodrigues,São Paulo
1023,Cândido Sales,Bahia
1024,Candiota,Rio Grande do Sul
1025,Candói,Panamá
1026,Canela,Rio Grande do Sul
1027,Canelinha,Santa Catarina
1028,Canguaretama,Rio Grande do Norte
1029,Canguçu,Rio Grande do Sul
1030,Canhoba,Sergipe
1031,Canhotinho,Pernambuco
1032,Canindé,Ceará
1033,Canindé de São Francisco,Sergipe
1034,Canitar,São Paulo
1035,Canoas,Rio Grande do Sul
1036,Canoinhas,Santa Catarina
1037,Cansanção,Bahia
1038,Cantá,Roraima
1039,Cantagalo,Rio de Janeiro
1040,Cantagalo,Panamá
1041,Cantagalo,Minas Gerais
1042,Cantanhede,Maranhão
1043,Canto do Buriti,Piauí
1044,Canudos,Bahia
1045,Canudos do Vale,Rio Grande do Sul
1046,Canutama,Amazonas
1047,Capanema,Pará
1048,Capanema,Panamá
1049,Capão Alto,Santa Catarina
1050,Capão Bonito,São Paulo
1051,Capão Bonito do Sul,Rio Grande do Sul
1052,Capão da Canoa,Rio Grande do Sul
1053,Capão do Cipó,Rio Grande do Sul
1054,Capão do Leão,Rio Grande do Sul
1055,Caparaó,Minas Gerais
1056,Capela,Alagoas
1057,Capela,Sergipe
1058,Capela de Santana,Rio Grande do Sul
1059,Capela do Alto,São Paulo
1060,Capela do Alto Alegre,Bahia
1061,Capela Nova,Minas Gerais
1062,Capelinha,Minas Gerais
1063,Capetinga,Minas Gerais
1064,Capim,Paraíba
1065,Capim Branco,Minas Gerais
1066,Capim Grosso,Bahia
1067,Capinópolis,Minas Gerais
1068,Capinzal,Santa Catarina
1069,Capinzal do Norte,Maranhão
1070,Capistrano,Ceará
1071,Capitão,Rio Grande do Sul
1072,Capitão Andrade,Minas Gerais
1073,Capitão de Campos,Piauí
1074,Capitão Enéas,Minas Gerais
1075,Capitão Gervásio Oliveira,Piauí
1076,Capitão Leônidas Marques,Panamá
1077,Capitão Poço,Pará
1078,Capitólio,Minas Gerais
1079,Capivari,São Paulo
1080,Capivari de Baixo,Santa Catarina
1081,Capivari do Sul,Rio Grande do Sul
1082,Capixaba,Acre
1083,Capoeiras,Pernambuco
1084,Caputira,Minas Gerais
1085,Caraá,Rio Grande do Sul
1086,Caracaraí,Roraima
1087,Caracol,Piauí
1088,Caracol,Mato Grosso do Sul
1089,Caraguatatuba,São Paulo
1090,Caraí,Minas Gerais
1091,Caraíbas,Bahia
1092,Carambeí,Panamá
1093,Caranaíba,Minas Gerais
1094,Carandaí,Minas Gerais
1095,Carangola,Minas Gerais
1096,Carapebus,Rio de Janeiro
1097,Carapicuíba,São Paulo
1098,Caratinga,Minas Gerais
1099,Carauari,Amazonas
1100,Caraúbas,Rio Grande do Norte
1101,Caraúbas,Paraíba
1102,Caraúbas do Piauí,Piauí
1103,Caravelas,Bahia
1104,Carazinho,Rio Grande do Sul
1105,Carbonita,Minas Gerais
1106,Cardeal da Silva,Bahia
1107,Cardoso,São Paulo
1108,Cardoso Moreira,Rio de Janeiro
1109,Careaçu,Minas Gerais
1110,Careiro,Amazonas
1111,Careiro da Várzea,Amazonas
1112,Cariacica,Espírito Santo
1113,Caridade,Ceará
1114,Caridade do Piauí,Piauí
1115,Carinhanha,Bahia
1116,Carira,Sergipe
1117,Cariré,Ceará
1118,Cariri do Tocantins,Tocantins
1119,Caririaçu,Ceará
1120,Cariús,Ceará
1121,Carlinda,Mato Grosso
1122,Carlópolis,Panamá
1123,Carlos Barbosa,Rio Grande do Sul
1124,Carlos Chagas,Minas Gerais
1125,Carlos Gomes,Rio Grande do Sul
1126,Carmésia,Minas Gerais
1127,Carmo,Rio de Janeiro
1128,Carmo da Cachoeira,Minas Gerais
1129,Carmo da Mata,Minas Gerais
1130,Carmo de Minas,Minas Gerais
1131,Carmo do Cajuru,Minas Gerais
1132,Carmo do Paranaíba,Minas Gerais
1133,Carmo do Rio Claro,Minas Gerais
1134,Carmo do Rio Verde,Goiás
1135,Carmolândia,Tocantins
1136,Carmópolis,Sergipe
1137,Carmópolis de Minas,Minas Gerais
1138,Carnaíba,Pernambuco
1139,Carnaúba dos Dantas,Rio Grande do Norte
1140,Carnaubais,Rio Grande do Norte
1141,Carnaubal,Ceará
1142,Carnaubeira da Penha,Pernambuco
1143,Carneirinho,Minas Gerais
1144,Carneiros,Alagoas
1145,Caroebe,Roraima
1146,Carolina,Maranhão
1147,Carpina,Pernambuco
1148,Carrancas,Minas Gerais
1149,Carrapateira,Paraíba
1150,Carrasco Bonito,Tocantins
1151,Caruaru,Pernambuco
1152,Carutapera,Maranhão
1153,Carvalhópolis,Minas Gerais
1154,Carvalhos,Minas Gerais
1155,Casa Branca,São Paulo
1156,Casa Grande,Minas Gerais
1157,Casa Nova,Bahia
1158,Casca,Rio Grande do Sul
1159,Cascalho Rico,Minas Gerais
1160,Cascavel,Panamá
1161,Cascavel,Ceará
1162,Caseara,Tocantins
1163,Caseiros,Rio Grande do Sul
1164,Casimiro de Abreu,Rio de Janeiro
1165,Casinhas,Pernambuco
1166,Casserengue,Paraíba
1167,Cássia,Minas Gerais
1168,Cássia dos Coqueiros,São Paulo
1169,Cassilândia,Mato Grosso do Sul
1170,Castanhal,Pará
1171,Castanheira,Mato Grosso
1172,Castanheiras,Rondônia
1173,Castelândia,Goiás
1174,Castelo,Espírito Santo
1175,Castelo do Piauí,Piauí
1176,Castilho,São Paulo
1177,Castro,Panamá
1178,Castro Alves,Bahia
1179,Cataguases,Minas Gerais
1180,Catalão,Goiás
1181,Catanduva,São Paulo
1182,Catanduvas,Panamá
1183,Catanduvas,Santa Catarina
1184,Catarina,Ceará
1185,Catas Altas,Minas Gerais
1186,Catas Altas da Noruega,Minas Gerais
1187,Catende,Pernambuco
1188,Catiguá,São Paulo
1189,Catingueira,Paraíba
1190,Catolândia,Bahia
1191,Catolé do Rocha,Paraíba
1192,Catu,Bahia
1193,Catuípe,Rio Grande do Sul
1194,Catuji,Minas Gerais
1195,Catunda,Ceará
1196,Caturaí,Goiás
1197,Caturama,Bahia
1198,Caturité,Paraíba
1199,Catuti,Minas Gerais
1200,Caucaia,Ceará
1201,Cavalcante,Goiás
1202,Caxambu,Minas Gerais
1203,Caxambu do Sul,Santa Catarina
1204,Caxias,Maranhão
1205,Caxias do Sul,Rio Grande do Sul
1206,Caxingó,Piauí
1207,Ceará-Mirim,Rio Grande do Norte
1208,Cedral,Maranhão
1209,Cedral,São Paulo
1210,Cedro,Ceará
1211,Cedro,Pernambuco
1212,Cedro de São João,Sergipe
1213,Cedro do Abaeté,Minas Gerais
1214,Celso Ramos,Santa Catarina
1215,Centenário,Rio Grande do Sul
1216,Centenário,Tocantins
1217,Centenário do Sul,Panamá
1218,Central,Bahia
1219,Central de Minas,Minas Gerais
1220,Central do Maranhão,Maranhão
1221,Centralina,Minas Gerais
1222,Centro do Guilherme,Maranhão
1223,Centro Novo do Maranhão,Maranhão
1224,Cerejeiras,Rondônia
1225,Ceres,Goiás
1226,Cerqueira César,São Paulo
1227,Cerquilho,São Paulo
1228,Cerrito,Rio Grande do Sul
1229,Cerro Azul,Panamá
1230,Cerro Branco,Rio Grande do Sul
1231,Cerro Corá,Rio Grande do Norte
1232,Cerro Grande,Rio Grande do Sul
1233,Cerro Grande do Sul,Rio Grande do Sul
1234,Cerro Largo,Rio Grande do Sul
1235,Cerro Negro,Santa Catarina
1236,Cesário Lange,São Paulo
1237,Céu Azul,Panamá
1238,Cezarina,Goiás
1239,Chã de Alegria,Pernambuco
1240,Chã Grande,Pernambuco
1241,Chã Preta,Alagoas
1242,Chácara,Minas Gerais
1243,Chalé,Minas Gerais
1244,Chapada,Rio Grande do Sul
1245,Chapada da Natividade,Tocantins
1246,Chapada de Areia,Tocantins
1247,Chapada do Norte,Minas Gerais
1248,Chapada dos Guimarães,Mato Grosso
1249,Chapada Gaúcha,Minas Gerais
1250,Chapadão do Céu,Goiás
1251,Chapadão do Lageado,Santa Catarina
1252,Chapadão do Sul,Mato Grosso do Sul
1253,Chapadinha,Maranhão
1254,Chapecó,Santa Catarina
1255,Charqueada,São Paulo
1256,Charqueadas,Rio Grande do Sul
1257,Charrua,Rio Grande do Sul
1258,Chaval,Ceará
1259,Chavantes,São Paulo
1260,Chaves,Pará
1261,Chiador,Minas Gerais
1262,Chiapetta,Rio Grande do Sul
1263,Chopinzinho,Panamá
1264,Choró,Ceará
1265,Chorozinho,Ceará
1266,Chorrochó,Bahia
1267,Chuí,Rio Grande do Sul
1268,Chupinguaia,Rondônia
1269,Chuvisca,Rio Grande do Sul
1270,Cianorte,Panamá
1271,Cícero Dantas,Bahia
1272,Cidade Gaúcha,Panamá
1273,Cidade Ocidental,Goiás
1274,Cidelândia,Maranhão
1275,Cidreira,Rio Grande do Sul
1276,Cipó,Bahia
1277,Cipotânea,Minas Gerais
1278,Ciríaco,Rio Grande do Sul
1279,Claraval,Minas Gerais
1280,Claro dos Poções,Minas Gerais
1281,Cláudia,Mato Grosso
1282,Cláudio,Minas Gerais
1283,Clementina,São Paulo
1284,Clevelândia,Panamá
1285,Coaraci,Bahia
1286,Coari,Amazonas
1287,Cocal,Piauí
1288,Cocal de Telha,Piauí
1289,Cocal do Sul,Santa Catarina
1290,Cocal dos Alves,Piauí
1291,Cocalinho,Mato Grosso
1292,Cocalzinho de Goiás,Goiás
1293,Cocos,Bahia
1294,Codajás,Amazonas
1295,Codó,Maranhão
1296,Coelho Neto,Maranhão
1297,Coimbra,Minas Gerais
1298,Coité do Nóia,Alagoas
1299,Coivaras,Piauí
1300,Colares,Pará
1301,Colatina,Espírito Santo
1302,Colíder,Mato Grosso
1303,Colina,São Paulo
1304,Colinas,Rio Grande do Sul
1305,Colinas,Maranhão
1306,Colinas do Sul,Goiás
1307,Colinas do Tocantins,Tocantins
1308,Colméia,Tocantins
1309,Colniza,Mato Grosso
1310,Colômbia,São Paulo
1311,Colombo,Panamá
1312,Colônia do Gurguéia,Piauí
1313,Colônia do Piauí,Piauí
1314,Colônia Leopoldina,Alagoas
1315,Colorado,Rio Grande do Sul
1316,Colorado,Panamá
1317,Colorado do Oeste,Rondônia
1318,Coluna,Minas Gerais
1319,Combinado,Tocantins
1320,Comendador Gomes,Minas Gerais
1321,Comendador Levy Gasparian,Rio de Janeiro
1322,Comercinho,Minas Gerais
1323,Comodoro,Mato Grosso
1324,Conceição,Paraíba
1325,Conceição da Aparecida,Minas Gerais
1326,Conceição da Barra,Espírito Santo
1327,Conceição da Barra de Minas,Minas Gerais
1328,Conceição da Feira,Bahia
1329,Conceição das Alagoas,Minas Gerais
1330,Conceição das Pedras,Minas Gerais
1331,Conceição de Ipanema,Minas Gerais
1332,Conceição de Macabu,Rio de Janeiro
1333,Conceição do Almeida,Bahia
1334,Conceição do Araguaia,Pará
1335,Conceição do Canindé,Piauí
1336,Conceição do Castelo,Espírito Santo
1337,Conceição do Coité,Bahia
1338,Conceição do Jacuípe,Bahia
1339,Conceição do Lago-Açu,Maranhão
1340,Conceição do Mato Dentro,Minas Gerais
1341,Conceição do Pará,Minas Gerais
1342,Conceição do Rio Verde,Minas Gerais
1343,Conceição do Tocantins,Tocantins
1344,Conceição dos Ouros,Minas Gerais
1345,Conchal,São Paulo
1346,Conchas,São Paulo
1347,Concórdia,Santa Catarina
1348,Concórdia do Pará,Pará
1349,Condado,Paraíba
1350,Condado,Pernambuco
1351,Conde,Paraíba
1352,Conde,Bahia
1353,Condeúba,Bahia
1354,Condor,Rio Grande do Sul
1355,Cônego Marinho,Minas Gerais
1356,Confins,Minas Gerais
1357,Confresa,Mato Grosso
1358,Congo,Paraíba
1359,Congonhal,Minas Gerais
1360,Congonhas,Minas Gerais
1361,Congonhas do Norte,Minas Gerais
1362,Congonhinhas,Panamá
1363,Conquista,Minas Gerais
1364,Conquista D'Oeste,Mato Grosso
1365,Conselheiro Lafaiete,Minas Gerais
1366,Conselheiro Mairinck,Panamá
1367,Conselheiro Pena,Minas Gerais
1368,Consolação,Minas Gerais
1369,Constantina,Rio Grande do Sul
1370,Contagem,Minas Gerais
1371,Contenda,Panamá
1372,Contendas do Sincorá,Bahia
1373,Coqueiral,Minas Gerais
1374,Coqueiro Baixo,Rio Grande do Sul
1375,Coqueiro Seco,Alagoas
1376,Coqueiros do Sul,Rio Grande do Sul
1377,Coração de Jesus,Minas Gerais
1378,Coração de Maria,Bahia
1379,Corbélia,Panamá
1380,Cordeiro,Rio de Janeiro
1381,Cordeirópolis,São Paulo
1382,Cordeiros,Bahia
1383,Cordilheira Alta,Santa Catarina
1384,Cordisburgo,Minas Gerais
1385,Cordislândia,Minas Gerais
1386,Coreaú,Ceará
1387,Coremas,Paraíba
1388,Corguinho,Mato Grosso do Sul
1389,Coribe,Bahia
1390,Corinto,Minas Gerais
1391,Cornélio Procópio,Panamá
1392,Coroaci,Minas Gerais
1393,Coroados,São Paulo
1394,Coroatá,Maranhão
1395,Coromandel,Minas Gerais
1396,Coronel Barros,Rio Grande do Sul
1397,Coronel Bicaco,Rio Grande do Sul
1398,Coronel Domingos Soares,Panamá
1399,Coronel Ezequiel,Rio Grande do Norte
1400,Coronel Fabriciano,Minas Gerais
1401,Coronel Freitas,Santa Catarina
1402,Coronel João Pessoa,Rio Grande do Norte
1403,Coronel João Sá,Bahia
1404,Coronel José Dias,Piauí
1405,Coronel Macedo,São Paulo
1406,Coronel Martins,Santa Catarina
1407,Coronel Murta,Minas Gerais
1408,Coronel Pacheco,Minas Gerais
1409,Coronel Pilar,Rio Grande do Sul
1410,Coronel Sapucaia,Mato Grosso do Sul
1411,Coronel Vivida,Panamá
1412,Coronel Xavier Chaves,Minas Gerais
1413,Córrego Danta,Minas Gerais
1414,Córrego do Bom Jesus,Minas Gerais
1415,Córrego do Ouro,Goiás
1416,Córrego Fundo,Minas Gerais
1417,Córrego Novo,Minas Gerais
1418,Correia Pinto,Santa Catarina
1419,Corrente,Piauí
1420,Correntes,Pernambuco
1421,Correntina,Bahia
1422,Cortês,Pernambuco
1423,Corumbá,Mato Grosso do Sul
1424,Corumbá de Goiás,Goiás
1425,Corumbaíba,Goiás
1426,Corumbataí,São Paulo
1427,Corumbataí do Sul,Panamá
1428,Corumbiara,Rondônia
1429,Corupá,Santa Catarina
1430,Coruripe,Alagoas
1431,Cosmópolis,São Paulo
1432,Cosmorama,São Paulo
1433,Costa Marques,Rondônia
1434,Costa Rica,Mato Grosso do Sul
1435,Cotegipe,Bahia
1436,Cotia,São Paulo
1437,Cotiporã,Rio Grande do Sul
1438,Cotriguaçu,Mato Grosso
1439,Couto de Magalhães de Minas,Minas Gerais
1440,Couto Magalhães,Tocantins
1441,Coxilha,Rio Grande do Sul
1442,Coxim,Mato Grosso do Sul
1443,Coxixola,Paraíba
1444,Craíbas,Alagoas
1445,Crateús,Ceará
1446,Crato,Ceará
1447,Cravinhos,São Paulo
1448,Cravolândia,Bahia
1449,Criciúma,Santa Catarina
1450,Crisólita,Minas Gerais
1451,Crisópolis,Bahia
1452,Crissiumal,Rio Grande do Sul
1453,Cristais,Minas Gerais
1454,Cristais Paulista,São Paulo
1455,Cristal,Rio Grande do Sul
1456,Cristal do Sul,Rio Grande do Sul
1457,Cristalândia,Tocantins
1458,Cristalândia do Piauí,Piauí
1459,Cristália,Minas Gerais
1460,Cristalina,Goiás
1461,Cristiano Otoni,Minas Gerais
1462,Cristianópolis,Goiás
1463,Cristina,Minas Gerais
1464,Cristinápolis,Sergipe
1465,Cristino Castro,Piauí
1466,Cristópolis,Bahia
1467,Crixás,Goiás
1468,Crixás do Tocantins,Tocantins
1469,Croatá,Ceará
1470,Cromínia,Goiás
1471,Crucilândia,Minas Gerais
1472,Cruz,Ceará
1473,Cruz Alta,Rio Grande do Sul
1474,Cruz das Almas,Bahia
1475,Cruz do Espírito Santo,Paraíba
1476,Cruz Machado,Panamá
1477,Cruzália,São Paulo
1478,Cruzaltense,Rio Grande do Sul
1479,Cruzeiro,São Paulo
1480,Cruzeiro da Fortaleza,Minas Gerais
1481,Cruzeiro do Iguaçu,Panamá
1482,Cruzeiro do Oeste,Panamá
1483,Cruzeiro do Sul,Panamá
1484,Cruzeiro do Sul,Rio Grande do Sul
1485,Cruzeiro do Sul,Acre
1486,Cruzeta,Rio Grande do Norte
1487,Cruzília,Minas Gerais
1488,Cruzmaltina,Panamá
1489,Cubatão,São Paulo
1490,Cubati,Paraíba
1491,Cuiabá,Mato Grosso
1492,Cuité,Paraíba
1493,Cuité de Mamanguape,Paraíba
1494,Cuitegi,Paraíba
1495,Cujubim,Rondônia
1496,Cumari,Goiás
1497,Cumaru,Pernambuco
1498,Cumaru do Norte,Pará
1499,Cumbe,Sergipe
1500,Cunha,São Paulo
1501,Cunha Porã,Santa Catarina
1502,Cunhataí,Santa Catarina
1503,Cuparaque,Minas Gerais
1504,Cupira,Pernambuco
1505,Curaçá,Bahia
1506,Curimatá,Piauí
1507,Curionópolis,Pará
1508,Curitiba,Panamá
1509,Curitibanos,Santa Catarina
1510,Curiúva,Panamá
1511,Currais,Piauí
1512,Currais Novos,Rio Grande do Norte
1513,Curral de Cima,Paraíba
1514,Curral de Dentro,Minas Gerais
1515,Curral Novo do Piauí,Piauí
1516,Curral Velho,Paraíba
1517,Curralinho,Pará
1518,Curralinhos,Piauí
1519,Curuá,Pará
1520,Curuçá,Pará
1521,Cururupu,Maranhão
1522,Curvelândia,Mato Grosso
1523,Curvelo,Minas Gerais
1524,Custódia,Pernambuco
1525,Cutias,Amapá
1526,Damianópolis,Goiás
1527,Damião,Paraíba
1528,Damolândia,Goiás
1529,Darcinópolis,Tocantins
1530,Dário Meira,Bahia
1531,Datas,Minas Gerais
1532,David Canabarro,Rio Grande do Sul
1533,Davinópolis,Maranhão
1534,Davinópolis,Goiás
1535,Delfim Moreira,Minas Gerais
1536,Delfinópolis,Minas Gerais
1537,Delmiro Gouveia,Alagoas
1538,Delta,Minas Gerais
1539,Demerval Lobão,Piauí
1540,Denise,Mato Grosso
1541,Deodápolis,Mato Grosso do Sul
1542,Deputado Irapuan Pinheiro,Ceará
1543,Derrubadas,Rio Grande do Sul
1544,Descalvado,São Paulo
1545,Descanso,Santa Catarina
1546,Descoberto,Minas Gerais
1547,Desterro,Paraíba
1548,Desterro de Entre Rios,Minas Gerais
1549,Desterro do Melo,Minas Gerais
1550,Dezesseis de Novembro,Rio Grande do Sul
1551,Diadema,São Paulo
1552,Diamante,Paraíba
1553,Diamante D'Oeste,Panamá
1554,Diamante do Norte,Panamá
1555,Diamante do Sul,Panamá
1556,Diamantina,Minas Gerais
1557,Diamantino,Mato Grosso
1558,Dianópolis,Tocantins
1559,Dias d'Ávila,Bahia
1560,Dilermando de Aguiar,Rio Grande do Sul
1561,Diogo de Vasconcelos,Minas Gerais
1562,Dionísio,Minas Gerais
1563,Dionísio Cerqueira,Santa Catarina
1564,Diorama,Goiás
1565,Dirce Reis,São Paulo
1566,Dirceu Arcoverde,Piauí
1567,Divina Pastora,Sergipe
1568,Divinésia,Minas Gerais
1569,Divino,Minas Gerais
1570,Divino das Laranjeiras,Minas Gerais
1571,Divino de São Lourenço,Espírito Santo
1572,Divinolândia,São Paulo
1573,Divinolândia de Minas,Minas Gerais
1574,Divinópolis,Minas Gerais
1575,Divinópolis de Goiás,Goiás
1576,Divinópolis do Tocantins,Tocantins
1577,Divisa Alegre,Minas Gerais
1578,Divisa Nova,Minas Gerais
1579,Divisópolis,Minas Gerais
1580,Dobrada,São Paulo
1581,Dois Córregos,São Paulo
1582,Dois Irmãos,Rio Grande do Sul
1583,Dois Irmãos das Missões,Rio Grande do Sul
1584,Dois Irmãos do Buriti,Mato Grosso do Sul
1585,Dois Irmãos do Tocantins,Tocantins
1586,Dois Lajeados,Rio Grande do Sul
1587,Dois Riachos,Alagoas
1588,Dois Vizinhos,Panamá
1589,Dolcinópolis,São Paulo
1590,Dom Aquino,Mato Grosso
1591,Dom Basílio,Bahia
1592,Dom Bosco,Minas Gerais
1593,Dom Cavati,Minas Gerais
1594,Dom Eliseu,Pará
1595,Dom Expedito Lopes,Piauí
1596,Dom Feliciano,Rio Grande do Sul
1597,Dom Inocêncio,Piauí
1598,Dom Joaquim,Minas Gerais
1599,Dom Macedo Costa,Bahia
1600,Dom Pedrito,Rio Grande do Sul
1601,Dom Pedro,Maranhão
1602,Dom Pedro de Alcântara,Rio Grande do Sul
1603,Dom Silvério,Minas Gerais
1604,Dom Viçoso,Minas Gerais
1605,Domingos Martins,Espírito Santo
1606,Domingos Mourão,Piauí
1607,Dona Emma,Santa Catarina
1608,Dona Eusébia,Minas Gerais
1609,Dona Francisca,Rio Grande do Sul
1610,Dona Inês,Paraíba
1611,Dores de Campos,Minas Gerais
1612,Dores de Guanhães,Minas Gerais
1613,Dores do Indaiá,Minas Gerais
1614,Dores do Rio Preto,Espírito Santo
1615,Dores do Turvo,Minas Gerais
1616,Doresópolis,Minas Gerais
1617,Dormentes,Pernambuco
1618,Douradina,Mato Grosso do Sul
1619,Douradina,Panamá
1620,Dourado,São Paulo
1621,Douradoquara,Minas Gerais
1622,Dourados,Mato Grosso do Sul
1623,Doutor Camargo,Panamá
1624,Doutor Maurício Cardoso,Rio Grande do Sul
1625,Doutor Pedrinho,Santa Catarina
1626,Doutor Ricardo,Rio Grande do Sul
1627,Doutor Severiano,Rio Grande do Norte
1628,Doutor Ulysses,Panamá
1629,Doverlândia,Goiás
1630,Dracena,São Paulo
1631,Duartina,São Paulo
1632,Duas Barras,Rio de Janeiro
1633,Duas Estradas,Paraíba
1634,Dueré,Tocantins
1635,Dumont,São Paulo
1636,Duque Bacelar,Maranhão
1637,Duque de Caxias,Rio de Janeiro
1638,Durandé,Minas Gerais
1639,Echaporã,São Paulo
1640,Ecoporanga,Espírito Santo
1641,Edealina,Goiás
1642,Edéia,Goiás
1643,Eirunepé,Amazonas
1644,Eldorado,Mato Grosso do Sul
1645,Eldorado,São Paulo
1646,Eldorado do Carajás,Pará
1647,Eldorado do Sul,Rio Grande do Sul
1648,Elesbão Veloso,Piauí
1649,Elias Fausto,São Paulo
1650,Eliseu Martins,Piauí
