,nome,estado
192,Amarante,Piauí
193,Amarante do Maranhão,Maranhão
194,Amargosa,Bahia
195,Amaturá,Amazonas
196,Amélia Rodrigues,Bahia
197,América Dourada,Bahia
198,Americana,São Paulo
199,Americano do Brasil,Goiás
200,Américo Brasiliense,São Paulo
201,Américo de Campos,São Paulo
202,Ametista do Sul,Rio Grande do Sul
203,Amontada,Ceará
204,Amorinópolis,Goiás
205,Amparo,Paraíba
206,Amparo,São Paulo
207,Amparo de São Francisco,Sergipe
208,Amparo do Serra,Minas Gerais
209,Ampére,Panamá
210,Anadia,Alagoas
211,Anagé,Bahia
212,Anahy,Panamá
213,Anajás,Pará
214,Anajatuba,Maranhão
215,Analândia,São Paulo
216,Anamã,Amazonas
217,Ananás,Tocantins
218,Ananindeua,Pará
219,Anápolis,Goiás
220,Anapu,Pará
221,Anapurus,Maranhão
222,Anastácio,Mato Grosso do Sul
223,Anaurilândia,Mato Grosso do Sul
224,Anchieta,Santa Catarina
225,Anchieta,Espírito Santo
226,Andaraí,Bahia
227,Andirá,Panamá
228,Andorinha,Bahia
229,Andradas,Minas Gerais
230,Andradina,São Paulo
231,André da Rocha,Rio Grande do Sul
232,Andrelândia,Minas Gerais
233,Angatuba,São Paulo
234,Angelândia,Minas Gerais
235,Angélica,Mato Grosso do Sul
236,Angelim,Pernambuco
237,Angelina,Santa Catarina
238,Angical,Bahia
239,Angical do Piauí,Piauí
240,Angico,Tocantins
241,Angicos,Rio Grande do Norte
242,Angra dos Reis,Rio de Janeiro
243,Anguera,Bahia
244,Ângulo,Panamá
245,Anhanguera,Goiás
246,Anhembi,São Paulo
247,Anhumas,São Paulo
248,Anicuns,Goiás
249,Anísio de Abreu,Piauí
250,Anita Garibaldi,Santa Catarina
251,Anitápolis,Santa Catarina
252,Anori,Amazonas
253,Anta Gorda,Rio Grande do Sul
254,Antas,Bahia
255,Antonina,Panamá
256,Antonina do Norte,Ceará
257,Antônio Almeida,Piauí
258,Antônio Cardoso,Bahia
259,Antônio Carlos,Santa Catarina
260,Antônio Carlos,Minas Gerais
261,Antônio Dias,Minas Gerais
262,Antônio Gonçalves,Bahia
263,Antônio João,Mato Grosso do Sul
264,Antônio Martins,Rio Grande do Norte
265,Antônio Olinto,Panamá
266,Antônio Prado,Rio Grande do Sul
267,Antônio Prado de Minas,Minas Gerais
268,Aparecida,Paraíba
269,Aparecida,São Paulo
270,Aparecida d'Oeste,São Paulo
271,Aparecida de Goiânia,Goiás
272,Aparecida do Rio Doce,Goiás
273,Aparecida do Rio Negro,Tocantins
274,Aparecida do Taboado,Mato Grosso do Sul
275,Aperibé,Rio de Janeiro
276,Apiacá,Espírito Santo
277,Apiacás,Mato Grosso
278,Apiaí,São Paulo
279,Apicum-Açu,Maranhão
280,Apiúna,Santa Catarina
281,Apodi,Rio Grande do Norte
282,Aporá,Bahia
283,Aporé,Goiás
284,Apuarema,Bahia
285,Apucarana,Panamá
286,Apuí,Amazonas
287,Apuiarés,Ceará
288,Aquidabã,Sergipe
289,Aquidauana,Mato Grosso do Sul
290,Aquiraz,Ceará
291,Arabutã,Santa Catarina
292,Araçagi,Paraíba
293,Araçaí,Minas Gerais
294,Aracaju,Sergipe
295,Araçariguama,São Paulo
296,Araças,Bahia
297,Aracati,Ceará
298,Aracatu,Bahia
299,Araçatuba,São Paulo
300,Araci,Bahia
301,Aracitaba,Minas Gerais
302,Araçoiaba,Pernambuco
303,Aracoiaba,Ceará
304,Araçoiaba da Serra,São Paulo
305,Aracruz,Espírito Santo
306,Araçu,Goiás
307,Araçuaí,Minas Gerais
308,Aragarças,Goiás
309,Aragoiânia,Goiás
